ax,ay,az
-74,280,494
-13,411,420
77,603,330
72,472,220
-55,231,181
19,470,244
-11,465,40
-35,375,22
-1,602,99
97,658,17
44,498,64
28,452,67
84,506,18
35,433,55
19,416,61
44,481,38
35,408,48
43,401,51
35,431,58
26,436,47
29,423,40
27,430,51
33,419,40
36,419,48
36,436,47
29,427,36
33,435,44
36,433,44
34,436,45
37,433,48
29,435,44
25,447,46
33,437,37
30,435,35
29,452,36
30,451,31
22,445,38
27,441,38
20,421,38
18,437,36
26,430,33
22,418,35
25,435,34
25,433,31
26,428,26
28,424,35
